chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao,motivos_investigacao
4312252,Minas do Leão,"Minas do Leão, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312377,Monte Alegre dos Campos,"Monte Alegre dos Campos, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312427,Mormaço,"Mormaço, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312617,Muitos Capões,"Muitos Capões, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313060,Nova Hartz,"Nova Hartz, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313334,Nova Ramada,"Nova Ramada, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313359,Nova Roma do Sul,"Nova Roma do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4312658,Não-Me-Toque,"Não-Me-Toque, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313508,Osório,"Osório, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313607,Paim Filho,"Paim Filho, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313656,Palmares do Sul,"Palmares do Sul, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4313904,Panambi,"Panambi, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314100,Passo Fundo,"Passo Fundo, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314308,Pejuçara,"Pejuçara, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314464,Pinhal da Serra,"Pinhal da Serra, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314498,Pinheirinho do Vale,"Pinheirinho do Vale, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314704,Planalto,"Planalto, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4315073,Porto Vera Cruz,"Porto Vera Cruz, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314803,Portão,"Portão, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4314753,Poço das Antas,"Poço das Antas, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4315305,Quaraí,"Quaraí, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4315313,Quatro Irmãos,"Quatro Irmãos, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4315552,Rio dos Índios,"Rio dos Índios, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
4315958,Rolador,"Rolador, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro,afetado_sem_registro
