ordem_fonte,chave_municipal,municipio_fonte,municipio_ibge,data_extrato
253,4312443,Morrinhos do Sul,Morrinhos do Sul,2024-06-11
254,4312450,Morro Redondo,Morro Redondo,2024-06-11
255,4312476,Morro Reuter,Morro Reuter,2024-06-11
256,4312500,Mostardas,Mostardas,2024-06-11
257,4312609,Muçum,Muçum,2024-06-11
258,4312617,Muitos Capões,Muitos Capões,2024-06-11
259,4312658,Não-me-toque,Não-Me-Toque,2024-06-11
260,4312708,Nonoai,Nonoai,2024-06-11
261,4312757,Nova Alvorada,Nova Alvorada,2024-06-11
262,4312906,Nova Bassano,Nova Bassano,2024-06-11
263,4312955,Nova Boa Vista,Nova Boa Vista,2024-06-11
264,4313003,Nova Bréscia,Nova Bréscia,2024-06-11
265,4313037,Nova Esperança do Sul,Nova Esperança do Sul,2024-06-11
266,4313060,Nova Hartz,Nova Hartz,2024-06-11
267,4313086,Nova Pádua,Nova Pádua,2024-06-11
268,4313102,Nova Palma,Nova Palma,2024-06-11
269,4313201,Nova Petrópolis,Nova Petrópolis,2024-06-11
270,4313300,Nova Prata,Nova Prata,2024-06-11
271,4313334,Nova Ramada,Nova Ramada,2024-06-11
272,4313359,Nova Roma do Sul,Nova Roma do Sul,2024-06-11
273,4313375,Nova Santa Rita,Nova Santa Rita,2024-06-11
274,4313490,Novo Barreiro,Novo Barreiro,2024-06-11
275,4313391,Novo Cabrais,Novo Cabrais,2024-06-11
276,4313409,Novo Hamburgo,Novo Hamburgo,2024-06-11
277,4313425,Novo Machado,Novo Machado,2024-06-11
278,4313441,Novo Tiradentes,Novo Tiradentes,2024-06-11
279,4313466,Novo Xingu,Novo Xingu,2024-06-11
280,4313508,Osório,Osório,2024-06-11
281,4313607,Paim Filho,Paim Filho,2024-06-11
282,4313656,Palmares do Sul,Palmares do Sul,2024-06-11
283,4313706,Palmeira Das Missões,Palmeira das Missões,2024-06-11
284,4313805,Palmitinho,Palmitinho,2024-06-11
285,4313904,Panambi,Panambi,2024-06-11
286,4313953,Pantano Grande,Pantano Grande,2024-06-11
287,4314001,Paraí,Paraí,2024-06-11
288,4314027,Paraíso do Sul,Paraíso do Sul,2024-06-11
289,4314035,Pareci Novo,Pareci Novo,2024-06-11
290,4314050,Parobé,Parobé,2024-06-11
291,4314068,Passa Sete,Passa Sete,2024-06-11
292,4314076,Passo do Sobrado,Passo do Sobrado,2024-06-11
293,4314100,Passo Fundo,Passo Fundo,2024-06-11
294,4314134,Paulo Bento,Paulo Bento,2024-06-11
295,4314159,Paverama,Paverama,2024-06-11
296,4314175,Pedras Altas,Pedras Altas,2024-06-11
297,4314209,Pedro Osório,Pedro Osório,2024-06-11
298,4314308,Pejuçara,Pejuçara,2024-06-11
299,4314407,Pelotas,Pelotas,2024-06-11
300,4314423,Picada Café,Picada Café,2024-06-11
301,4314456,Pinhal,Pinhal,2024-06-11
302,4314464,Pinhal da Serra,Pinhal da Serra,2024-06-11
303,4314472,Pinhal Grande,Pinhal Grande,2024-06-11
304,4314498,Pinheirinho do Vale,Pinheirinho do Vale,2024-06-11
305,4314506,Pinheiro Machado,Pinheiro Machado,2024-06-11
306,4314548,Pinto Bandeira,Pinto Bandeira,2024-06-11
307,4314555,Pirapó,Pirapó,2024-06-11
308,4314605,Piratini,Piratini,2024-06-11
309,4314704,Planalto,Planalto,2024-06-11
310,4314753,Poço Das Antas,Poço das Antas,2024-06-11
311,4314779,Pontão,Pontão,2024-06-11
312,4314787,Ponte Preta,Ponte Preta,2024-06-11
313,4314803,Portão,Portão,2024-06-11
314,4314902,Porto Alegre,Porto Alegre,2024-06-11
315,4315008,Porto Lucena,Porto Lucena,2024-06-11
316,4315057,Porto Mauá,Porto Mauá,2024-06-11
317,4315073,Porto Vera Cruz,Porto Vera Cruz,2024-06-11
318,4315107,Porto Xavier,Porto Xavier,2024-06-11
319,4315131,Pouso Novo,Pouso Novo,2024-06-11
320,4315149,Presidente Lucena,Presidente Lucena,2024-06-11
321,4315156,Progresso,Progresso,2024-06-11
322,4315172,Protásio Alves,Protásio Alves,2024-06-11
323,4315206,Putinga,Putinga,2024-06-11
324,4315305,Quaraí,Quaraí,2024-06-11
325,4315313,Quatro Irmãos,Quatro Irmãos,2024-06-11
326,4315321,Quevedos,Quevedos,2024-06-11
327,4315354,Quinze de Novembro,Quinze de Novembro,2024-06-11
328,4315404,Redentora,Redentora,2024-06-11
