chave_municipal,municipio_cobertura,localizacao_cobertura,afetado_lista_2024_06_11,qtd_movimentacoes_base,creditos_base,ajustes_negativos_base,saldo_liquido_base,qtd_movimentacoes_ate_extrato,saldo_liquido_ate_extrato,situacao_na_base,situacao_comparacao
4305405,Chiapetta,"Chiapetta, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305447,Chuvisca,"Chuvisca, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,0,0.00,saldo_positivo,afetado_com_registro
4305439,Chuí,"Chuí, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305454,Cidreira,"Cidreira, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305504,Ciríaco,"Ciríaco, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305587,Colinas,"Colinas, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,2,550000.00,saldo_positivo,afetado_com_registro
4305603,Colorado,"Colorado, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305702,Condor,"Condor, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305801,Constantina,"Constantina, Rio Grande do Sul, Brasil",1,0,0.00,0.00,0.00,0,0.00,sem_registro,afetado_sem_registro
4305835,Coqueiro Baixo,"Coqueiro Baixo, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,2,550000.00,saldo_positivo,afetado_com_registro
4305850,Coqueiros do Sul,"Coqueiros do Sul, Rio Grande do Sul, Brasil",0,0,0.00,0.00,0.00,0,0.00,sem_registro,nao_listado_sem_registro
4305871,Coronel Barros,"Coronel Barros, Rio Grande do Sul, Brasil",1,3,450000.00,-300000.00,150000.00,0,0.00,saldo_positivo,afetado_com_registro
4305900,Coronel Bicaco,"Coronel Bicaco, Rio Grande do Sul, Brasil",1,1,200000.00,0.00,200000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305934,Coronel Pilar,"Coronel Pilar, Rio Grande do Sul, Brasil",1,2,350000.00,0.00,350000.00,1,200000.00,saldo_positivo,afetado_com_registro
4305959,Cotiporã,"Cotiporã, Rio Grande do Sul, Brasil",1,3,1334883.72,0.00,1334883.72,2,550000.00,saldo_positivo,afetado_com_registro
