"Tabela 6579 - População residente estimada"
"Variável - População residente estimada"
"Nível";"Cód.";"Município";"Ano"
"Nível";"Cód.";"Município";"2024"
"MU";"4312807";"Nova Araçá (RS)";"5086";"Pessoas"
"MU";"4312906";"Nova Bassano (RS)";"9877";"Pessoas"
"MU";"4312955";"Nova Boa Vista (RS)";"2088";"Pessoas"
"MU";"4313003";"Nova Bréscia (RS)";"3105";"Pessoas"
"MU";"4313011";"Nova Candelária (RS)";"3134";"Pessoas"
"MU";"4313037";"Nova Esperança do Sul (RS)";"4974";"Pessoas"
"MU";"4313060";"Nova Hartz (RS)";"20539";"Pessoas"
"MU";"4313086";"Nova Pádua (RS)";"2390";"Pessoas"
"MU";"4313102";"Nova Palma (RS)";"5683";"Pessoas"
"MU";"4313201";"Nova Petrópolis (RS)";"23889";"Pessoas"
"MU";"4313300";"Nova Prata (RS)";"26587";"Pessoas"
"MU";"4313334";"Nova Ramada (RS)";"2201";"Pessoas"
"MU";"4313359";"Nova Roma do Sul (RS)";"3543";"Pessoas"
"MU";"4313375";"Nova Santa Rita (RS)";"30121";"Pessoas"
"MU";"4313391";"Novo Cabrais (RS)";"3636";"Pessoas"
"MU";"4313409";"Novo Hamburgo (RS)";"235879";"Pessoas"
"MU";"4313425";"Novo Machado (RS)";"3246";"Pessoas"
"MU";"4313441";"Novo Tiradentes (RS)";"2188";"Pessoas"
"MU";"4313466";"Novo Xingu (RS)";"1678";"Pessoas"
"MU";"4313490";"Novo Barreiro (RS)";"4371";"Pessoas"
"MU";"4313508";"Osório (RS)";"48929";"Pessoas"
"MU";"4313607";"Paim Filho (RS)";"3691";"Pessoas"
"MU";"4313656";"Palmares do Sul (RS)";"13170";"Pessoas"
"MU";"4313706";"Palmeira das Missões (RS)";"34233";"Pessoas"
"MU";"4313805";"Palmitinho (RS)";"8032";"Pessoas"
"MU";"4313904";"Panambi (RS)";"45042";"Pessoas"
"MU";"4313953";"Pantano Grande (RS)";"10438";"Pessoas"
"MU";"4314001";"Paraí (RS)";"7357";"Pessoas"
"MU";"4314027";"Paraíso do Sul (RS)";"6635";"Pessoas"
